ID,category_encoded,status_encoded,density_score,category_frequency,is_pending,risk_signal,Latitude,Longitude
1,0,2,0.29548985832581726,214,1,0.5772939149954903,23.257166870416885,77.41363988119201
2,3,1,0.17064933648833286,497,0,0.10238960189299971,23.258522751784675,77.4152866921999
3,1,1,0.24674208685583385,425,0,0.1480452521135003,23.25667620336898,77.41164550556115
4,3,1,0.09925404090608836,497,0,0.05955242454365301,23.261520259995265,77.40797728555111
5,2,2,0.17640188727170497,311,1,0.505841132363023,23.257404661031305,77.41223276747819
6,1,1,0.3282106023098337,425,0,0.1969263613859002,23.260304824284173,77.41433703721334
7,3,1,0.5079224379380678,497,0,0.30475346276284065,23.25951704854351,77.41207712062675
8,1,2,0.16842902807152954,425,1,0.5010574168429177,23.257940406300715,77.41359990694865
9,3,2,0.35944942527379936,497,1,0.6156696551642796,23.25991671508481,77.41395470957086
10,0,2,0.2722738333949644,214,1,0.5633643000369787,23.258830412168574,77.41147953965388
11,3,2,0.2984063267280709,497,1,0.5790437960368425,23.26160797004141,77.41335598544799
12,2,1,0.18915346381846376,311,0,0.11349207829107825,23.257573700025407,77.41501438477115
13,2,2,0.404164288194334,311,1,0.6424985729166004,23.260022347340215,77.41250644064114
14,2,2,0.43899796197608626,311,1,0.6633987771856518,23.261219450348374,77.41153132887922
15,3,1,0.21697498551936717,497,0,0.13018499131162029,23.262325352970855,77.41175779205648
16,1,1,0.30398002533571294,425,0,0.18238801520142775,23.257822454488313,77.41027718191334
17,2,1,0.29136272406544667,311,0,0.17481763443926798,23.26067950880748,77.41347859453926
18,1,2,0.10958149649942504,425,1,0.465748897899655,23.25984683001894,77.41655341274718
19,1,1,0.19556572877565007,425,0,0.11733943726539003,23.2628036947049,77.41018465567693
20,3,1,0.18407077848805226,497,0,0.11044246709283136,23.261021132715804,77.41004082597746
21,3,2,0.3843729993039404,497,1,0.6306237995823643,23.260864857006233,77.4119904947022
22,2,1,0.054895660398033994,311,0,0.032937396238820395,23.264047981319457,77.41491600744297
23,3,1,0.2734905431117169,497,0,0.16409432586703013,23.257329295396364,77.4132429698273
24,3,0,0.36201889012725197,497,0,0.21721133407635118,23.26222219152494,77.41250534684458
25,3,2,0.24120176682658415,497,1,0.5447210600959504,23.25908767344835,77.41297996628644
26,3,2,0.2794193435248748,497,1,0.5676516061149249,23.259405875030673,77.41280502690877
27,2,1,0.2586267075669589,311,0,0.15517602454017532,23.2592339684933,77.41178955697644
28,3,2,0.424699483031767,497,1,0.6548196898190602,23.25956080370776,77.41177321899897
29,2,2,0.5166280002834593,311,1,0.7099768001700757,23.25940927292967,77.41206860413122
30,1,1,0.16379829845258226,425,0,0.09827897907154935,23.26263339372978,77.41081815114069
31,3,1,0.24001511147063553,497,0,0.14400906688238133,23.259377472328733,77.41502425574737
32,0,2,0.28181783391607457,214,1,0.5690907003496448,23.25789403406714,77.41206485656258
33,4,1,0.24049131712642338,153,0,0.144294790275854,23.25961943170124,77.41417635806528
34,1,1,0.16724396308368353,425,0,0.10034637785021011,23.258617244343657,77.40806016623219
35,0,1,0.33033155115774243,214,0,0.19819893069464545,23.2612508896769,77.41128719733565
36,1,2,0.07166811205304081,425,1,0.4430008672318245,23.262212705203197,77.40905278396116
37,1,1,0.24228862002194018,425,0,0.1453731720131641,23.260298779548354,77.41532718492762
38,2,0,0.22607437466061414,311,0,0.1356446247963685,23.259932015423175,77.41443717924757
39,3,2,0.2323251415736385,497,1,0.5393950849441831,23.26199201996096,77.4142537539702
40,1,1,0.5482237811657044,425,0,0.3289342686994226,23.25971087380528,77.41237915084618
41,1,2,0.15633116839231057,425,1,0.49379870103538637,23.261245916986613,77.41492120738765
42,1,1,0.27244637070755184,425,0,0.1634678224245311,23.257858870132964,77.41109480878241
43,0,2,0.1386515848167102,214,1,0.4831909508900261,23.2617039882019,77.40955112681675
44,3,2,0.5431350560146451,497,1,0.7258810336087871,23.258182255184533,77.412140318424
45,0,1,0.27256790349565496,214,0,0.16354074209739297,23.26150215734853,77.4116005405354
46,3,1,0.1574344585564887,497,0,0.09446067513389321,23.25898358356926,77.41612328054853
47,3,1,0.25189990669116763,497,0,0.15113994401470057,23.258144444261784,77.41508558840222
48,1,1,0.10686385355063818,425,0,0.06411831213038291,23.258883810879492,77.41669386781776
49,0,2,0.2772064056945574,214,1,0.5663238434167345,23.260477627554053,77.41136550739061
50,3,1,0.27029494928099035,497,0,0.1621769695685942,23.2573768038097,77.41377721192246
51,4,2,0.169654437695394,153,1,0.5017926626172364,23.257124036507193,77.41251551693496
52,2,2,0.3376176604518507,311,1,0.6025705962711104,23.25694970365543,77.41156660665496
53,1,2,0.29627751051448553,425,1,0.5777665063086913,23.2588333873622,77.41223204804436
54,1,1,0.27334792070681635,425,0,0.1640087524240898,23.260890971082873,77.41510722813634
55,1,2,0.26553431185103965,425,1,0.5593205871106238,23.258812243361696,77.4144691566274
56,1,2,0.3861661450809478,425,1,0.6316996870485687,23.260926561820305,77.4113940496395
57,4,2,0.20734066270013185,153,1,0.5244043976200792,23.25967635706948,77.40960399738299
58,1,2,0.3311046878384069,425,1,0.5986628127030442,23.25729689679123,77.41335988464023
59,4,1,0.34975985162161416,153,0,0.2098559109729685,23.25863359891093,77.4144259727133
60,3,1,0.38944875765006304,497,0,0.23366925459003782,23.25995635717766,77.41393681210347
61,3,1,0.23109919855463545,497,0,0.13865951913278127,23.260870644237663,77.41248594987441
62,3,1,0.2609087165690685,497,0,0.1565452299414411,23.257073352373304,77.41415471713816
63,4,0,0.03648431963943868,153,0,0.021890591783663205,23.264338998368512,77.41621602407102
64,1,1,0.07772078533713368,425,0,0.04663247120228021,23.257933959614338,77.41680280371268
65,2,2,0.26295742623900653,311,1,0.5577744557434039,23.259968969984865,77.41326179162986
66,1,1,0.23702753122060247,425,0,0.14221651873236146,23.257161316764748,77.41419492195199
67,3,0,0.2343418888478875,497,0,0.1406051333087325,23.26017393760895,77.4118890915535
68,3,2,0.23658634667512243,497,1,0.5419518080050735,23.258012018557174,77.41307948951169
69,1,0,0.4119973351613647,425,0,0.24719840109681882,23.25850691153931,77.41222702271455
70,2,1,0.5102246579478875,311,0,0.3061347947687325,23.26045632899913,77.41291448846223
