ID,Category,Status,Latitude,Longitude
1,Drainage,Pending,23.257166870416885,77.41363988119201
2,Waste,Completed,23.258522751784675,77.4152866921999
3,Pothole,Completed,23.25667620336898,77.41164550556115
4,Waste,Completed,23.261520259995265,77.40797728555111
5,Streetlight,Pending,23.257404661031302,77.41223276747819
6,Pothole,Completed,23.260304824284173,77.41433703721334
7,Waste,Completed,23.25951704854351,77.41207712062675
8,Pothole,Pending,23.257940406300715,77.41359990694865
9,Waste,Pending,23.259916715084806,77.41395470957086
10,Drainage,Pending,23.258830412168578,77.41147953965388
11,Waste,Pending,23.26160797004141,77.41335598544799
12,Streetlight,Completed,23.257573700025407,77.41501438477115
13,Streetlight,Pending,23.260022347340218,77.41250644064114
14,Streetlight,Pending,23.261219450348374,77.41153132887922
15,Waste,Completed,23.262325352970855,77.41175779205648
16,Pothole,Completed,23.257822454488313,77.41027718191334
17,Streetlight,Completed,23.260679508807478,77.41347859453926
18,Pothole,Pending,23.25984683001894,77.41655341274718
19,Pothole,Completed,23.2628036947049,77.41018465567693
20,Waste,Completed,23.261021132715804,77.41004082597746
21,Waste,Pending,23.260864857006233,77.4119904947022
22,Streetlight,Completed,23.264047981319454,77.41491600744297
23,Waste,Completed,23.257329295396364,77.4132429698273
24,Waste,Cancelled,23.26222219152494,77.41250534684458
25,Waste,Pending,23.25908767344835,77.41297996628644
26,Waste,Pending,23.259405875030673,77.41280502690877
27,Streetlight,Completed,23.2592339684933,77.41178955697644
28,Waste,Pending,23.25956080370776,77.41177321899897
29,Streetlight,Pending,23.25940927292967,77.41206860413122
30,Pothole,Completed,23.26263339372978,77.41081815114069
31,Waste,Completed,23.259377472328733,77.41502425574737
32,Drainage,Pending,23.25789403406714,77.41206485656258
33,Water Supply,Completed,23.25961943170124,77.41417635806528
34,Pothole,Completed,23.258617244343657,77.40806016623219
35,Drainage,Completed,23.2612508896769,77.41128719733565
36,Pothole,Pending,23.262212705203197,77.40905278396116
37,Pothole,Completed,23.260298779548354,77.41532718492762
38,Streetlight,Cancelled,23.259932015423175,77.41443717924757
39,Waste,Pending,23.26199201996096,77.4142537539702
40,Pothole,Completed,23.259710873805282,77.41237915084618
41,Pothole,Pending,23.261245916986613,77.41492120738765
42,Pothole,Completed,23.257858870132964,77.41109480878241
43,Drainage,Pending,23.2617039882019,77.40955112681675
44,Waste,Pending,23.258182255184533,77.412140318424
45,Drainage,Completed,23.26150215734853,77.4116005405354
46,Waste,Completed,23.25898358356926,77.41612328054853
47,Waste,Completed,23.258144444261784,77.41508558840222
48,Pothole,Completed,23.258883810879492,77.41669386781776
49,Drainage,Pending,23.260477627554053,77.41136550739061
50,Waste,Completed,23.2573768038097,77.41377721192246
51,Water Supply,Pending,23.257124036507193,77.41251551693496
52,Streetlight,Pending,23.25694970365543,77.41156660665496
53,Pothole,Pending,23.258833387362202,77.41223204804436
54,Pothole,Completed,23.260890971082873,77.41510722813634
55,Pothole,Pending,23.258812243361696,77.4144691566274
56,Pothole,Pending,23.260926561820305,77.4113940496395
57,Water Supply,Pending,23.25967635706948,77.40960399738299
58,Pothole,Pending,23.25729689679123,77.41335988464023
59,Water Supply,Completed,23.25863359891093,77.4144259727133
60,Waste,Completed,23.25995635717766,77.41393681210347
61,Waste,Completed,23.260870644237666,77.41248594987441
62,Waste,Completed,23.257073352373304,77.41415471713816
63,Water Supply,Cancelled,23.264338998368512,77.41621602407102
64,Pothole,Completed,23.257933959614338,77.41680280371268
65,Streetlight,Pending,23.259968969984865,77.41326179162986
66,Pothole,Completed,23.257161316764748,77.41419492195199
67,Waste,Cancelled,23.260173937608954,77.4118890915535
68,Waste,Pending,23.258012018557178,77.41307948951169
69,Pothole,Cancelled,23.258506911539314,77.41222702271455
70,Streetlight,Completed,23.260456328999126,77.41291448846223
71,Pothole,Completed,23.259606434550008,77.41305394543225
72,Drainage,Pending,23.259149486249527,77.41004303270682
73,Streetlight,Pending,23.259577527131576,77.40914244291035
74,Waste,Completed,23.257011513738544,77.41415142195882
75,Waste,Cancelled,23.261542128554993,77.41210749137416
76,Pothole,Pending,23.258774800846147,77.41176911229587
77,Streetlight,Completed,23.25995375890257,77.40993247783862
78,Pothole,Cancelled,23.257784217588675,77.41605569779954
79,Streetlight,Cancelled,23.260651824522313,77.41410669018772
80,Pothole,Cancelled,23.26156105792456,77.41084138484108
81,Pothole,Completed,23.260244496996116,77.41296558627947
82,Pothole,Pending,23.26077333266589,77.41335486760919
83,Drainage,Pending,23.256993245565127,77.41336470148623
84,Waste,Cancelled,23.264646664667325,77.41095628210957
85,Drainage,Pending,23.259217846857233,77.4139335928513
86,Streetlight,Completed,23.261582926826485,77.40816267395542
87,Water Supply,Pending,23.26177860938278,77.41095875123165
88,Pothole,Completed,23.257583876465194,77.41341545512105
89,Pothole,Pending,23.25924063704514,77.41137149798416
90,Waste,Pending,23.255849838739604,77.4119504760593
91,Waste,Pending,23.260642813641642,77.41552384993359
92,Drainage,Pending,23.26209678119994,77.41382076247659
93,Waste,Pending,23.259423302612586,77.41377065433369
